H1,H2,H3,Pdeficit,f_drop_real,t_nadir_real
12.739,4.9806,8.0769,12.835,-0.424820800942578,4.9648
20.097,8.3539,6.065,15.264,-0.452970440870895,6.03173333333333
14.818,7.4904,7.9569,12.076,-0.376558158958504,5.52933333333333
19.907,3.4098,8.6832,22.526,-0.688114588056627,5.738
14.904,4.5831,5.5718,34.791,-1.26196279106071,4.8672
21.165,3.0111,3.1206,29.829,-0.980044056894256,5.1588
17.401,7.0783,3.4978,30.879,-0.999555377931786,5.2452
16.323,8.1907,6.289,13.936,-0.431563124238098,5.5944
14.373,7.2991,7.2116,20.756,-0.659889776224744,5.35893333333333
20.007,6.7918,7.2236,17.476,-0.521430635390674,5.97466666666667
15.521,8.2766,5.5243,16.913,-0.533861340865929,5.4132
22.637,3.7893,7.2926,32.36,-0.972974147366695,5.93933333333333
20.718,5.9546,7.2656,12.618,-0.37619858772891,5.96466666666667
17.46,7.3655,6.6583,17.89,-0.549831180275039,5.676
18.021,7.8077,6.3754,29.075,-0.888718287620671,5.76173333333333
16.786,8.0138,6.135,13.861,-0.428501986445771,5.60986666666667
15.777,7.8356,6.0976,17.406,-0.54678969801208,5.46066666666667
17.638,6.5124,6.6978,20.73,-0.642247417837934,5.59933333333333
12.514,5.7222,4.9296,33.205,-1.26827232352371,4.6104
22.303,3.4569,5.2513,29.183,-0.903593021814255,5.61893333333333
17.4,3.8989,8.9234,25.858,-0.808620807484558,5.52306666666667
19.425,6.5978,4.0147,25.905,-0.812174373323393,5.5004
18.283,5.6524,8.6464,19.435,-0.589760987647315,5.80573333333333
18.326,6.1873,6.8097,20.94,-0.644963189138493,5.65573333333333
15.079,6.8481,6.9119,25.888,-0.824113853486045,5.35173333333333
16.074,6.7783,3.8014,36.707,-1.29527809072156,5.0744
18.539,5.2884,4.7351,17.039,-0.543044928040108,5.31706666666667
14.364,8.4984,5.5375,24.055,-0.770028202808457,5.29666666666667
12.307,6.0218,7.2002,14.009,-0.465776959921254,4.92746666666667
16.071,7.6444,5.7274,13.435,-0.423050289364537,5.4264
19.388,3.3544,7.1047,37.349,-1.21847683609116,5.47613333333333
15.881,5.4466,4.8317,19.992,-0.658693942588459,5.00973333333333
19.694,6.9859,4.954,18.6,-0.570923605510675,5.692
23.409,4.9924,3.8851,34.777,-1.0706169488025,5.76946666666667
15.641,7.276,7.6398,10.582,-0.328518388219646,5.56213333333333
21.452,7.6406,3.32,18.91,-0.574886524123237,5.78426666666667
13.384,7.5322,7.1599,17.702,-0.568684338274052,5.25493333333333
14.197,8.7772,5.9339,16.327,-0.518464812045408,5.3592
19.368,6.5277,7.9317,14.976,-0.447524663451666,5.94933333333333
16.595,6.2501,6.7194,22.196,-0.698903228958646,5.4404
15.037,6.1574,8.1174,11.725,-0.369819163433689,5.40893333333333
18.648,5.4042,7.8139,18.42,-0.563260875173619,5.7188
19.436,7.2948,7.6934,12.449,-0.369363072158341,6.01773333333333
15.877,6.8904,7.6378,18.362,-0.572056097283365,5.54293333333333
14.804,5.9795,5.3407,31.521,-1.06520550709934,5.00386666666667
17.219,5.7604,6.4723,28.616,-0.904034683784153,5.42586666666667
13.918,8.0682,5.9512,24.266,-0.781735127837277,5.23666666666667
14.423,6.5164,5.5415,30.575,-1.0185268939446,5.05013333333333
14.876,4.5498,3.2338,17.072,-0.593256338056325,4.53733333333333
19.311,5.043,5.5423,21.781,-0.682714610602321,5.4804
13.347,7.6217,6.7006,24.489,-0.792247955398035,5.2024
18.009,7.0232,7.0683,17.845,-0.544367528800771,5.74586666666667
14.441,3.7548,7.3591,17.794,-0.590736027169546,4.92853333333333
18.481,5.1384,6.5509,18.07,-0.563817901240637,5.5132
15.881,6.7339,7.4048,22.24,-0.696760206960242,5.49466666666667
17.027,4.0057,5.0311,23.264,-0.767542463240107,4.99493333333333
14.147,7.8986,5.6721,27.453,-0.887621171853802,5.20773333333333
22.533,5.1296,8.5268,23.492,-0.685563801756932,6.21666666666667
17.846,7.2225,6.966,18.115,-0.553151364647578,5.7372
16.385,7.4368,6.0634,15.059,-0.471680679375612,5.47786666666667
22.744,6.1844,8.5666,32.253,-0.931345137045907,6.3616
23.771,3.7756,4.6326,36.823,-1.14257654873398,5.75413333333333
16.621,5.194,6.4853,32.64,-1.06105568042302,5.28066666666667
21.132,8.9813,5.3425,24.849,-0.731893129494681,6.1332
17.326,7.3519,3.975,29.608,-0.946124331004618,5.32466666666667
19.716,8.0922,6.1685,32.413,-0.972157432953682,5.96386666666667
15.909,6.8997,7.098,24.495,-0.768886632360348,5.47973333333333
19.852,6.8296,6.234,20.404,-0.617074271798042,5.84026666666667
18.269,6.9535,7.2151,20.927,-0.636361206753607,5.784
15.387,6.203,7.8752,18.373,-0.579151333455331,5.42506666666667
15.234,7.7332,8.7671,14.401,-0.441456209612428,5.69986666666667
18.925,8.0056,7.2082,11.556,-0.343971007804555,5.98173333333333
19.27,5.6553,8.1526,16.89,-0.509158932388075,5.85853333333333
12.582,8.8003,6.3444,15.53,-0.50137565385299,5.20693333333333
16.967,8.9022,5.2691,18.011,-0.55596339513894,5.62813333333333
17.438,8.8493,6.5586,13.704,-0.414285331946564,5.83093333333333
17.322,4.8248,5.9066,23.445,-0.752721461771273,5.24773333333333
20.734,5.4241,6.5585,10.998,-0.332269448101073,5.81533333333333
14.297,7.9503,8.5273,10.484,-0.324898504266729,5.58373333333333
13.285,5.2077,7.0264,25.426,-0.848017953183435,4.92066666666667
23.081,6.0924,5.374,29.279,-0.870914926979344,6.02746666666667
14.782,7.4056,7.2009,20.143,-0.636101188479415,5.41386666666667
16.008,5.9347,3.9782,29.603,-0.989168182030991,4.97306666666667
17.225,6.5797,7.0744,21.258,-0.658462203601176,5.59586666666667
12.523,3.9204,5.0196,23.571,-0.840507926762163,4.36466666666667
12.167,8.0482,4.5121,23.31,-0.785741021202315,4.81493333333333
20.853,4.3507,7.5758,14.69,-0.443716115213245,5.822
22.862,4.3236,7.521,38.579,-1.15753185941469,6.04533333333333
19.309,4.0035,7.1256,28.718,-0.895936954923306,5.542
14.587,7.4594,7.831,27.498,-0.865158332847808,5.47346666666667
17.006,4.0789,8.9908,35.198,-1.1273738046379,5.4976
22.644,5.4705,8.1278,27.347,-0.798519030297201,6.2188
20.274,6.2997,7.6232,29.632,-0.885267834768056,5.9864
23.02,5.9687,8.3212,30.778,-0.88998945539246,6.3376
16.515,7.3295,7.4366,14.243,-0.438552044430613,5.64333333333333
17.139,4.4659,3.7119,31.922,-1.1014078556767,4.89253333333333
13.107,7.9667,8.8907,11.222,-0.351486282731437,5.4836
20.343,6.9876,7.6752,10.967,-0.323472804525479,6.07866666666667
22.263,3.7628,3.9458,12.426,-0.388552983926324,5.4844
22.686,3.7388,7.2681,33.249,-1.0005945767374,5.9276
16.568,4.5812,5.1994,26.084,-0.858651277747383,5.02733333333333
13.767,7.5714,7.0293,26.187,-0.839736441000879,5.28506666666667
17.959,5.8657,6.6822,24.405,-0.759755614753545,5.5492
18.562,8.8333,4.2489,30.784,-0.947510979321894,5.68613333333333
13.406,7.6836,7.9345,14.453,-0.458344223225325,5.36693333333333
22.056,5.9272,8.4277,38.13,-1.11805785731633,6.23653333333333
